LayerNumber,0,1,2,3,4,5,6,7
Average,0.035109431202386694,0.20380847990748682,0.26977338586429433,0.2985245528154777,0.30224132140584287,0.28004412336330303,0.2535732165492631,0.5265968407076292
1 / 4 Quartile,0.038348248786066186,0.2242930425031037,0.3018580071436148,0.3348690524572168,0.34012607984228255,0.31609157552184103,0.2869234483364533,0.7949070930480957
3 / 4 Quartile,0.02711630722733202,0.16929814912145671,0.2237095863457407,0.2505883424578553,0.25570432871703414,0.23727009323085074,0.21450497197345322,0.21440792083740234
