LayerNumber,0,1,2,3,4,5,6,7,8,9,10,11
Average,0.8067051820137879,0.00037290668315319997,0.0017651394637040153,0.005492315046827354,0.012897342807738495,0.024437802646659984,0.03938754811932039,0.05619752071378526,0.07331043298349019,0.08959777005994556,0.10434284299618155,0.1746546411092569
1 / 4 Quartile,0.9168553424610939,0.0004520073342137499,0.0021957653283404426,0.007224516163291059,0.017809117120799463,0.0338867426596774,0.05332128038875102,0.07458320642416301,0.09606557312134154,0.11629548720943092,0.1344199639095283,0.27875661849975586
3 / 4 Quartile,0.6577454722982805,0.0001512608246207476,0.0007617081393362441,0.002848743159597184,0.007393179421661955,0.015445253170149269,0.027446944444249305,0.0421645417578989,0.05782529914018286,0.07326283838338343,0.08787194760162356,0.05796241760253906
