LayerNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Average,0.125736647898602,0.04717535320064816,0.025489548360945975,0.04643129759361541,0.02341414206281478,0.04574086702163785,0.02213334230719753,0.04539218380683917,0.020322792979164287,0.045076752524176235,0.017800848158304548,0.044611946755515816,0.02083335703956826,0.04449523727713596,0.01894036413557169,0.0439412969012826,0.020451347710475264,0.04371045194737723,0.017824085577504763,0.043846704699019225,0.017387437541484585,0.043552727314730734,0.016183178683916326,0.043178638073191694,0.015486890741430595,0.04291210053412454,0.01580350969234838,0.042616267667697945,0.016166319239070925,0.04269596592395845,0.01522957813955571,0.042663739722298706,0.016054123672229914,0.042664648649713706,0.014752047114654821,0.04241127134434462,0.015974428424641092,0.04254417222022764,0.014160527059382652,0.04241665949391738,0.014757794289819255,0.042321435835508334,0.015556373727461386,0.04230564378804913,0.013537808501692856,0.042054628261366696,0.01606771112180668,0.041819638173401494,0.017807138186970505,0.04109333776254054,0.7139224093105844
1 / 4 Quartile,0.13719886811400708,0.05165695885918155,0.02827864582226239,0.05086620793373851,0.0258591760384203,0.05016767098423452,0.0244387639205979,0.04986401492254692,0.022705384561360238,0.049567822739656354,0.02017425896781705,0.04900620869101212,0.023356078112558225,0.04899251252190728,0.021163455978284923,0.048459538562540566,0.022828087322447968,0.04825046591081464,0.02020070490771841,0.04858062213637325,0.019466472358118086,0.048293927084667496,0.018774780742871627,0.04791057658042367,0.01787903481536808,0.047600817529057066,0.017854747751027376,0.04725224242892697,0.018203711870967844,0.047296007459257494,0.01719186895301745,0.04721747025732896,0.018144950226803257,0.04717849258277948,0.01681412287324656,0.04689705360163414,0.018120026585603216,0.04708349217828996,0.016000423359983244,0.04692784977889678,0.016940917097810818,0.046904488387789704,0.01740169360021671,0.04685726133312327,0.015174123739225871,0.046578443922226695,0.018133572986884585,0.046353590128756644,0.02015234335227908,0.045574356656823294,1.0517783164978027
3 / 4 Quartile,0.09701425001453319,0.0370473616248169,0.021982619538163124,0.0370864233447751,0.020330927732961326,0.037156109918662784,0.01964839162439377,0.037700074431476854,0.017560123523242925,0.037963327279182536,0.015185552408154723,0.03819336926038289,0.018194458077736154,0.03848879856956357,0.016400603916861472,0.038266159049361585,0.017983755708763153,0.03815999353557584,0.015648352927827916,0.03824649565623798,0.0154363522620646,0.038017943864784465,0.013814249280719601,0.037613016318110905,0.013362884287176618,0.03752957538983542,0.013883910446441635,0.03740188778638717,0.014179261537569963,0.037464246247138046,0.013644643262347862,0.03753908868359883,0.01413480515830362,0.03760230699353117,0.013223877386994988,0.03752873816826399,0.014400605140182614,0.0377471398603573,0.012647711328748939,0.037682870982816016,0.01331347815139719,0.03756502315721887,0.013897662563763721,0.037626230842373494,0.012415025915091292,0.03742177099057973,0.014411086372457265,0.03721830675362767,0.015743817742257513,0.03663765965242518,0.3845672607421875
