LayerNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Average,0.1258749715269951,0.025851145643133278,1.860584370480012e-05,3.983116342101329e-07,2.754835079935936e-10,1.5616052589620796e-11,2.5166762057713905e-13,4.2405229169824316e-14,6.408897326863976e-17,3.7938741952504565e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 / 4 Quartile,0.13719886811400708,0.028547933486869063,2.0889622410012638e-05,4.48680343794566e-07,3.08433200818378e-10,1.76610650211966e-11,2.8544222712135675e-13,4.7982429648414e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 / 4 Quartile,0.09701425001453319,0.020269864792898155,1.487701754383868e-05,3.197609669896805e-07,2.2387847138974988e-10,1.327431586793399e-11,2.1528493274193485e-13,3.459367340911078e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
