LayerNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
Average,0.00013281757291522372,0.00020802321488323018,0.00021786735136355338,0.0002774035654948145,0.0002517690436468329,0.0002571707183127216,0.000249718190115009,0.0002674552675741516,0.0002449273656526578,0.0002369726667397613,0.0002542021595981489,0.00026536104877316713,0.0002519506361157885,0.00027177742847886893,0.0002810317454614878,0.0002719016429250332,0.00031055303390988334,0.00032123906062043485,0.0003840234403956394,0.0003951848656576997,0.0005445410368659442,0.00045579878381849,0.0009125557310297325,0.0006915100803633562,0.0005583012268893986,0.0004496698574234105,0.000388122735255787,0.0014454236893483548,0.001136387307852278,0.0007760045146066261,0.0012065415036380549,0.0007645468241512242,0.0010851039231351961,0.0008227267813931168,0.000652034798029596,0.0006319517280913077,0.0007893869415258999,0.0009480496367830762,0.0007687776885917326,0.0006647438437836565,0.000622915431302981,0.0005294758066769677,0.001476931453864077,0.001585829272940929,0.003778326781733585,0.0023969004522331337,0.0019343454336526412,0.0025451060651543924,0.001964057309517898,0.0015460591088923158,0.001168551124887196,0.0010910041673031904,0.0011663724018224429,0.0022412381916890826,0.0016537694382760177,0.001449204020002271,0.0028572983425382854,0.0020827189508785962,0.0017533948018561534,0.001775646072110829,0.0016471414683902324,0.0016436076513568249,0.0016542731383678458,0.0017460373279106775,0.0017952393428946058,0.0018822941685595143,0.0019272852564295698,0.001987626037764568,0.002176924374308953,0.002197025936269251,0.00229845558639804,0.0022924348652845076,0.0023982906421856683,0.002496359853439638,0.002587774203331156,0.0027157621206169,0.0028004796209709928,0.0028864482059380026,0.0028722024827554124,0.002904320175185529,0.0029515806474231213,0.002999926348156383,0.0030429904986759983,0.0030772715139130596,0.0031005912756229496,0.040822072685284455
1 / 4 Quartile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.624097634106874e-05,8.284285286208615e-05,0.0001386565127177164,0.00020171758660580963,0.00028730620397254825,0.00030555384000763297,0.0004839881439693272,0.0004907246329821646,0.0004917200421914458,0.0004925966495648026,0.00046452079550363123,0.0007513600285165012,0.001085568335838616,0.0009225783869624138,0.0012932103127241135,0.00091400375822559,0.000831602665130049,0.000860118365380913,0.0007793405093252659,0.0006320640095509589,0.0006987118977122009,0.0006421275902539492,0.0006501858006231487,0.000658821256365627,0.0006763052078895271,0.0006777207599952817,0.0009666717960499227,0.0034990909043699503,0.006579890381544828,0.003632067935541272,0.0022575329057872295,0.0035603540018200874,0.0029496694914996624,0.0020437543280422688,0.0014324270887300372,0.0012961638858541846,0.0012244635727256536,0.0032101524993777275,0.0030118052382022142,0.002196510788053274,0.006537772715091705,0.003714514896273613,0.0025840189773589373,0.00237247790209949,0.0022731663193553686,0.0022570898290723562,0.002308350522071123,0.0023872023448348045,0.0024879383854568005,0.002607251750305295,0.0027097989805042744,0.002807913115248084,0.0029939571395516396,0.0031148011330515146,0.0032620588317513466,0.003317355178296566,0.0034248323645442724,0.0035824445076286793,0.00371087365783751,0.0038959342055022717,0.00400850735604763,0.0041540758684277534,0.004128820262849331,0.004187158774584532,0.004270980134606361,0.004350590985268354,0.004414125345647335,0.0044632102362811565,0.004498334135860205,0.05924534797668457
3 / 4 Quartile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0812705062999157e-06,7.208279566839337e-05,7.298445416381583e-05,8.429466834058985e-05,8.536329551134259e-05,7.90450067142956e-05,0.0001623409625608474,0.0002417575306026265,0.0006049944786354899,0.0006204305682331324,0.000743053387850523,0.0009937301510944963,0.0008292757556773722,0.000644153740722686,0.0005366864497773349,0.000512049300596118,0.00046214458416216075,0.0004943584208376706,0.00048409009468741715,0.0005004273843951523,0.0005931851919740438,0.0006276076892390847,0.0006349232862703502,0.0006362589774653316,0.0006576720625162125,0.0006545304204337299,0.000657323224004358,0.0006832428043708205,0.0007114243926480412,0.000740103714633733,0.0007700843852944672,0.0008012879989109933,0.000845963426399976,0.000873606011737138,0.0009245385299436748,0.0009381523123010993,0.0009752542828209698,0.0010111370356753469,0.001043322728946805,0.0010829103412106633,0.0011221695458516479,0.0011728766839951277,0.0011851522140204906,0.0012042789021506906,0.0011907663429155946,0.0011992610525339842,0.0012095042038708925,0.0012183357030153275,0.0012257297057658434,0.01614093780517578
