LayerNumber,0,1,2,3,4,5,6,7,8
Average,0.5198271089438978,0.41095941433213046,1.269167591276458,1.2310677624790491,1.2837224496648882,1.376628282884956,1.398168651290755,1.079558266373843,1.0898978227624978
1 / 4 Quartile,0.5846117973327637,0.46217624434135796,1.4114500703977881,1.3904569034550027,1.4440043922059704,1.630916891681146,1.6972995528198822,1.4067768130829181,1.6273081302642822
3 / 4 Quartile,0.4239474296569824,0.33515990916980754,1.145848630337251,1.0988280499134044,1.1861773391046504,1.2066983098264266,1.2600944062715047,0.8994160346967852,0.6921615600585938
